"VMSREF","DISTRICTOR","SCN","LOCATION","MANUFACTUR","NUMBEROFDI","EASTING","NORTHING","COMMENT","longitude","latitude"
"1","Manchester","S1a","Great Ducie St| N of New Bridge St.","Dambach",3,383763,399186,"",-2.24619,53.4891
"2","Manchester","S2","Trinity Way| W. of Great Ducie St.","Siemens",2,383719,399108,"",-2.24685,53.4884
"3","Manchester","S3","New Bridge St| E. of Great Ducie St.","Siemens",2,383858,399121,"",-2.24476,53.4885
"4","Manchester","S4","New Bridge St| E of Great Ducie St.","Siemens",2,383909,399165,"",-2.24399,53.4889
"5","Manchester","S5","New Bridge St| W. of Cheetham Hill Rd.","Siemens",2,384003,399182,"",-2.24257,53.4891
"6","Manchester","S6","Cheetham Hill Rd| N. of Bridge St.","Siemens",2,384075,399282,"",-2.24149,53.49
"9","Manchester","S9","Miller St| W. of Danzic St.","Siemens",2,384242,398991,"",-2.23896,53.4874
"10","Manchester","S10","Miller St.| E of Dantzic St.","Siemens",2,384292,398944,"",-2.23821,53.487
"11","Manchester","S11","Rochdale Rd| S. of Cable St.","Siemens",2,384478,398886,"",-2.2354,53.4864
"12","Manchester","S12","Miller St| W. of Rochdale Rd.","Siemens",2,384389,398917,"",-2.23674,53.4867
"13","Manchester","S13","Swan St.| S. of Rochdale Rd.","Siemens",2,384476,398821,"",-2.23543,53.4859
"14","Manchester","S14","Oldham Rd| W. of Cornell St.","Siemens",2,384758,398774,"",-2.23117,53.4855
"15","Manchester","S15","Great Ancoats St| S. of Lever St.","Siemens",2,384771,398604,"",-2.23097,53.4839
"16","Manchester","S16","Great Ancoats St.| N. of Dean St.","Siemens",2,384819,398525,"",-2.23024,53.4832
"17","Manchester","S17","Great Ancoats St.| E of Laystall St.","Siemens",2,385062,398331,"",-2.22657,53.4815
"18","Manchester","S18","Great Ancoats St.| N of Store St.","Siemens",2,385149,398280,"",-2.22526,53.481
"19","Manchester","S19","Ashton Old Rd| East of Chancellor Lane","Siemens",2,385754,397623,"",-2.21611,53.4751
"20","Manchester","S20","Ashton Old Rd| W. of Chancellor Lane","Siemens",2,385669,397638,"",-2.21739,53.4753
"21","Manchester","S21","Downing St| S. of Mancunian Way","Siemens",2,384858,397400,"",-2.2296,53.4731
"22","Manchester","S22","Brook St.| N. of Grosvenor St.","Siemens",2,384529,397184,"",-2.23455,53.4712
"23","Manchester","S23","Cambridge St.| S. of Mancunian Way","Siemens",3,384066,397041,"",-2.24152,53.4699
"24","Manchester","S24","Princess Rd.| S. of Mancunian Way.","Siemens",3,383701,397015,"",-2.24701,53.4696
"25","Manchester","S25","Chester Rd| W. of Mancunian Way","Siemens",3,382849,397217,"",-2.25986,53.4714
"26","Manchester","S26","Egerton St.| N. of Mancunian Way","Siemens",2,382837,397446,"",-2.26005,53.4735
"27","Manchester","S27","Regent Rd.| W. of Dawson St.","Siemens",2,382619,397705,"",-2.26335,53.4758
"28","Manchester","S28","Water St.| S. of Liverpool Rd.","Siemens",2,382869,397847,"",-2.25959,53.4771
"30","Manchester","S30","Water St.| S. of Quay St.","Siemens",2,383065,398065,"",-2.25665,53.479
"31","Manchester","S31","New Quay St| N. of Water St.","Siemens",2,383134,398220,"",-2.25562,53.4804
"32","Manchester","S32","Chapel St.| W. of Trinity Way","Siemens",3,382965,398552,"",-2.25818,53.4834
"33","Manchester","S33","Trinity Way| S. of Chapel St.","Siemens",2,382979,398478,"",-2.25797,53.4827
"34","Manchester","S34","Trinity Way| N. of Chapel St.","Siemens",2,383029,398594,"",-2.25722,53.4838
"35","Manchester","S50","Blackfriars Rd.| W. of Trinity Way","Siemens",2,383238,398971,"",-2.25409,53.4872
"36","Manchester","S36","Trinity Way| S. of Blackfriars Rd.","Siemens",2,383185,398843,"",-2.25488,53.486
"37","Manchester","S37","Trinity Way| N. of Blackfriars Road.","Siemens",2,383317,398950,"",-2.2529,53.487
"38","Manchester","S38","Rochdale Rd.| E. of Ludgate St.","Siemens",2,384537,398962,"",-2.23452,53.4871
"40","Manchester","S40","Victoria Bridge St.| E. of Chapel St.","Siemens",3,383738,398734,"",-2.24654,53.4851
"42","Manchester","S42","Shudehill| E. of Thomas St.","Siemens",2,384323,398750,"",-2.23773,53.4852
"44","Manchester","S44","Newton St.| S. of Faraday St.","Siemens",2,384682,398414,"",-2.2323,53.4822
"45","Manchester","S45","Newton St.| S. of Hilton St.","Siemens",2,384631,398354,"",-2.23307,53.4817
"46","Manchester","S46","Newton St.| S. of Dale St.","Siemens",2,384579,398286,"",-2.23385,53.4811
"47","Manchester","S47","Ducie St| E. of Dale St.","Siemens",2,384753,398103,"",-2.23122,53.4794
"48","Manchester","S48","Ducie St.| E. of London Rd.","Siemens",2,384673,398072,"",-2.23242,53.4791
"50","Manchester","","Fairfield St| E. of London Rd.","",2,384818,397752,"",-2.23022,53.4763
"51","Manchester","","London Rd.| N. of Mancunian Way","",2,384810,397627,"",-2.23034,53.4751
"53","Manchester","S53","Oxford St.| S. of Whitworth St.","Siemens",2,384104,397530,"",-2.24097,53.4742
